variant,seed,epoch,log_loss,brier,accuracy
base_7,42,91,0.6340236174674454,0.22097954154014587,0.717948717948718
base_7,43,1,0.6824023348369992,0.24462929368019104,0.6538461538461539
base_7,44,79,0.6243430289875602,0.21624834835529327,0.6923076923076923
lead10_baron_9,42,104,0.6278487783270964,0.21797382831573486,0.6666666666666666
lead10_baron_9,43,35,0.6542462081782074,0.23065264523029327,0.7307692307692307
lead10_baron_9,44,84,0.6272543597081047,0.2177140712738037,0.717948717948718
all_11,42,35,0.647444109854283,0.22739346325397491,0.6666666666666666
all_11,43,12,0.6640217878001136,0.23548400402069092,0.717948717948718
all_11,44,8,0.663911739480678,0.23543594777584076,0.6666666666666666
selected,42,69,0.621156205399389,0.2151157706975937,0.6794871794871795
selected,43,83,0.6247030010341219,0.21666783094406128,0.6794871794871795
selected,44,89,0.6321990878458446,0.22014476358890533,0.6794871794871795
