variant,period,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
always_50,all_311,311,159,0.5112540192926045,0.5,0.6931471805599454,0.25,0.5,0.5
always_50,development_232,232,115,0.4956896551724138,0.5,0.6931471805599452,0.25,0.5,0.5
always_50,recent_79,79,44,0.5569620253164557,0.5,0.6931471805599455,0.25,0.5,0.5
base_7,all_311,311,178,0.572347266881029,0.576961271102284,0.6945463438442805,0.24942554320367802,0.19832082589467367,0.9166533549626669
base_7,development_232,232,136,0.5862068965517241,0.5994797473058343,0.6836528687737367,0.24509666978146452,0.26887576778729755,0.7556096514066061
base_7,recent_79,79,42,0.5316455696202531,0.5610389610389611,0.7265373086084094,0.2621381841397987,0.19832082589467367,0.9166533549626669
fit_winrate,all_311,311,152,0.4887459807073955,0.5172335319430652,0.7110920501012195,0.2587582255899323,0.375,0.4796747967479675
fit_winrate,development_232,232,117,0.5043103448275862,0.489223337049424,0.7153431851573208,0.26081140229357314,0.375,0.47474747474747475
fit_winrate,recent_79,79,35,0.4430379746835443,0.5,0.6986077041136812,0.2527286433716452,0.4796747967479675,0.4796747967479675
lead10_baron_9,all_311,311,177,0.5691318327974276,0.6033184376034426,0.6761757659209685,0.2416511011667456,0.2085497279961904,0.8406569163004557
lead10_baron_9,development_232,232,134,0.5775862068965517,0.6156819026384245,0.6704216436394712,0.2389572420581133,0.22402121623357138,0.7446938951810201
lead10_baron_9,recent_79,79,43,0.5443037974683544,0.587012987012987,0.6930739478109358,0.2495621810807038,0.2085497279961904,0.8406569163004557
lead15_baron_9,all_311,311,176,0.5659163987138264,0.6004634227077127,0.6774453216751707,0.24210669641170654,0.23927209774653116,0.8322256803512573
lead15_baron_9,development_232,232,133,0.5732758620689655,0.6039390561129692,0.6754279511973633,0.24127134657766963,0.2500719130039215,0.7572077512741089
lead15_baron_9,recent_79,79,43,0.5443037974683544,0.5883116883116883,0.6833697514327821,0.2445598756711566,0.23927209774653116,0.8322256803512573
lead20_baron_9,all_311,311,177,0.5691318327974276,0.6035253227408143,0.6769092895338065,0.24185166995291607,0.19733415047327676,0.8340167800585429
lead20_baron_9,development_232,232,134,0.5775862068965517,0.61917502787068,0.672589466179647,0.2398688593289221,0.19733415047327676,0.7662584185600281
lead20_baron_9,recent_79,79,43,0.5443037974683544,0.5772727272727273,0.6895953530548822,0.24767460748160725,0.2477677265803019,0.8340167800585429
logistic_6,all_311,311,171,0.5498392282958199,0.6262826878517047,0.6629836539892314,0.23655698678844853,0.09903823624774916,0.8494827157809304
logistic_6,development_232,232,131,0.5646551724137931,0.6488294314381271,0.6475309110549152,0.2297128018990905,0.09903823624774916,0.8494827157809304
