_key,league,datacompleteness,reason
LFL2|LOLTMNT03_179647,LFL2,complete,eligible
LFL2|LOLTMNT06_96134,LFL2,complete,eligible
LFL2|LOLTMNT06_95160,LFL2,complete,eligible
LFL2|LOLTMNT03_178705,LFL2,complete,eligible
LPL|11715-11715_game_1,LPL,partial,not_complete
LPL|11715-11715_game_2,LPL,partial,not_complete
LFL2|LOLTMNT06_96169,LFL2,complete,eligible
LPL|11715-11715_game_3,LPL,partial,not_complete
LFL2|LOLTMNT06_95187,LFL2,complete,eligible
LFL2|LOLTMNT06_96178,LFL2,complete,eligible
LFL2|LOLTMNT06_96180,LFL2,complete,eligible
LCKC|LOLTMNT03_180614,LCKC,complete,eligible
LCKC|LOLTMNT03_180626,LCKC,complete,eligible
LCKC|LOLTMNT03_180652,LCKC,complete,eligible
LCKC|LOLTMNT03_180657,LCKC,complete,eligible
LPL|11716-11716_game_1,LPL,partial,not_complete
LCKC|LOLTMNT03_180680,LCKC,complete,eligible
LPL|11716-11716_game_2,LPL,partial,not_complete
LCKC|LOLTMNT03_181730,LCKC,complete,eligible
LPL|11716-11716_game_3,LPL,partial,not_complete
LCKC|LOLTMNT03_181763,LCKC,complete,eligible
LPL|11716-11716_game_4,LPL,partial,not_complete
LCKC|LOLTMNT03_182166,LCKC,complete,eligible
LCKC|LOLTMNT03_182173,LCKC,complete,eligible
LPL|11717-11717_game_1,LPL,partial,not_complete
LPL|11717-11717_game_2,LPL,partial,not_complete
LCKC|LOLTMNT03_183141,LCKC,complete,eligible
LPL|11717-11717_game_3,LPL,partial,not_complete
LCKC|LOLTMNT03_183156,LCKC,complete,eligible
LPL|11717-11717_game_4,LPL,partial,not_complete
LVP SL|LOLTMNT03_182386,LVP SL,complete,eligible
LVP SL|LOLTMNT03_182440,LVP SL,complete,eligible
LVP SL|LOLTMNT03_183380,LVP SL,complete,eligible
LVP SL|LOLTMNT03_182503,LVP SL,complete,eligible
LVP SL|LOLTMNT03_182532,LVP SL,complete,eligible
LCK|LOLTMNT03_183532,LCK,complete,eligible
LCK|LOLTMNT03_183538,LCK,complete,eligible
LPL|11718-11718_game_1,LPL,partial,not_complete
LCK|LOLTMNT03_183544,LCK,complete,eligible
LPL|11718-11718_game_2,LPL,partial,not_complete
LPL|11718-11718_game_3,LPL,partial,not_complete
LCK|LOLTMNT03_183585,LCK,complete,eligible
LPL|11718-11718_game_4,LPL,partial,not_complete
LCK|LOLTMNT03_182705,LCK,complete,eligible
LCK|LOLTMNT03_182729,LCK,complete,eligible
NLC|LOLTMNT06_95254,NLC,complete,eligible
LVP SL|LOLTMNT03_183723,LVP SL,complete,eligible
LVP SL|LOLTMNT03_183750,LVP SL,complete,eligible
NLC|LOLTMNT06_96247,NLC,complete,eligible
LVP SL|LOLTMNT03_183778,LVP SL,complete,eligible
NLC|LOLTMNT06_96258,NLC,complete,eligible
LVP SL|LOLTMNT03_182901,LVP SL,complete,eligible
NLC|LOLTMNT06_96262,NLC,complete,eligible
LVP SL|LOLTMNT03_183815,LVP SL,complete,eligible
NLC|LOLTMNT06_96264,NLC,complete,eligible
LCKC|LOLTMNT03_184010,LCKC,complete,eligible
LCKC|LOLTMNT03_184011,LCKC,complete,eligible
LCKC|LOLTMNT03_184009,LCKC,complete,eligible
LCKC|LOLTMNT03_183923,LCKC,complete,eligible
LCKC|LOLTMNT03_183925,LCKC,complete,eligible
LCKC|LOLTMNT03_184034,LCKC,complete,eligible
LCK|LOLTMNT03_184086,LCK,complete,eligible
LCK|LOLTMNT03_183991,LCK,complete,eligible
LPL|11719-11719_game_1,LPL,partial,not_complete
LCK|LOLTMNT03_184105,LCK,complete,eligible
LPL|11719-11719_game_2,LPL,partial,not_complete
LCK|LOLTMNT03_185025,LCK,complete,eligible
LPL|11719-11719_game_3,LPL,partial,not_complete
LCK|LOLTMNT03_185042,LCK,complete,eligible
LCK|LOLTMNT03_185067,LCK,complete,eligible
LVP SL|LOLTMNT03_184314,LVP SL,complete,eligible
NLC|LOLTMNT06_95284,NLC,complete,eligible
LVP SL|LOLTMNT03_184350,LVP SL,complete,eligible
NLC|LOLTMNT06_95291,NLC,complete,eligible
LVP SL|LOLTMNT03_184375,LVP SL,complete,eligible
NLC|LOLTMNT06_95294,NLC,complete,eligible
