league,eligible,missing_player_id,not_complete
AL,278,15,0
ASI,42,0,0
Asia Master,177,0,0
CD,296,5,0
CT,50,0,0
DCup,75,0,3
EBL,191,0,0
EM,439,0,0
EWC,33,0,0
FST,35,0,0
HC,200,0,0
HLL,217,4,0
HM,190,0,0
HW,114,0,0
IC,28,0,0
KeSPA,56,0,0
LAS,487,0,0
LCK,555,0,0
LCKC,542,0,0
LCP,290,1,0
LEC,306,0,0
LFL,318,0,0
LFL2,233,0,0
LIT,139,0,0
LJL,129,245,0
LPL,0,0,805
LPLOL,121,37,0
LRN,142,9,0
LRS,130,6,0
LTA,40,0,0
LTA N,214,0,0
LTA S,222,0,0
LVP SL,264,0,0
MSI,80,0,0
NACL,275,0,0
NEXO,152,2,0
NLC,247,2,0
PCS,292,10,0
PRM,301,0,0
PRMP,51,22,0
RL,239,0,0
ROL,208,0,0
TCL,240,0,0
VCS,137,4,0
WLDs,84,0,12
