_key,league,date,reason
2025|LPL|11715-11715_game_1,LPL,2025-01-12 09:24:17,not_complete
2025|LPL|11715-11715_game_2,LPL,2025-01-12 10:26:00,not_complete
2025|LPL|11715-11715_game_3,LPL,2025-01-12 11:21:40,not_complete
2025|LPL|11716-11716_game_1,LPL,2025-01-13 09:35:11,not_complete
2025|LPL|11716-11716_game_2,LPL,2025-01-13 10:36:48,not_complete
2025|LPL|11716-11716_game_3,LPL,2025-01-13 11:33:45,not_complete
2025|LPL|11716-11716_game_4,LPL,2025-01-13 12:27:12,not_complete
2025|LPL|11717-11717_game_1,LPL,2025-01-14 09:27:56,not_complete
2025|LPL|11717-11717_game_2,LPL,2025-01-14 10:21:38,not_complete
2025|LPL|11717-11717_game_3,LPL,2025-01-14 11:21:38,not_complete
2025|LPL|11717-11717_game_4,LPL,2025-01-14 12:11:52,not_complete
2025|LCK|LOLTMNT03_183532,LCK,2025-01-15 08:09:30,eligible
2025|LCK|LOLTMNT03_183538,LCK,2025-01-15 09:03:08,eligible
2025|LPL|11718-11718_game_1,LPL,2025-01-15 09:30:43,not_complete
2025|LCK|LOLTMNT03_183544,LCK,2025-01-15 09:54:37,eligible
2025|LPL|11718-11718_game_2,LPL,2025-01-15 10:29:59,not_complete
2025|LPL|11718-11718_game_3,LPL,2025-01-15 11:22:40,not_complete
2025|LCK|LOLTMNT03_183585,LCK,2025-01-15 11:26:48,eligible
2025|LPL|11718-11718_game_4,LPL,2025-01-15 12:06:15,not_complete
2025|LCK|LOLTMNT03_182705,LCK,2025-01-15 12:36:28,eligible
2025|LCK|LOLTMNT03_182729,LCK,2025-01-15 13:34:29,eligible
2025|LCK|LOLTMNT03_184086,LCK,2025-01-16 08:09:06,eligible
2025|LCK|LOLTMNT03_183991,LCK,2025-01-16 09:04:00,eligible
2025|LPL|11719-11719_game_1,LPL,2025-01-16 09:26:37,not_complete
2025|LCK|LOLTMNT03_184105,LCK,2025-01-16 09:54:20,eligible
2025|LPL|11719-11719_game_2,LPL,2025-01-16 10:24:20,not_complete
2025|LCK|LOLTMNT03_185025,LCK,2025-01-16 11:11:06,eligible
2025|LPL|11719-11719_game_3,LPL,2025-01-16 11:14:07,not_complete
2025|LCK|LOLTMNT03_185042,LCK,2025-01-16 11:55:28,eligible
2025|LCK|LOLTMNT03_185067,LCK,2025-01-16 12:50:03,eligible
2025|LCK|LOLTMNT03_185467,LCK,2025-01-17 08:08:25,eligible
