candidate,fold,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
all13,1,45,36,0.8,0.8374485596707819,0.5423544633472936,0.17946404218673706,0.13463877141475677,0.8149535655975342
all13,2,45,26,0.5777777777777777,0.6012145748987855,0.7448202003723098,0.2567688822746277,0.11153608560562134,0.9775340557098389
all13,3,33,17,0.5151515151515151,0.41304347826086957,0.7074837910661962,0.25744009017944336,0.10251548141241074,0.8136471509933472
without_past_result,1,45,34,0.7555555555555555,0.8045267489711934,0.5901589862065747,0.20034107565879822,0.23932945728302002,0.7083411812782288
without_past_result,2,45,25,0.5555555555555556,0.5991902834008097,0.7510090119920967,0.26225578784942627,0.1330716758966446,0.9643359184265137
without_past_result,3,33,15,0.45454545454545453,0.4,0.6919311725578072,0.24976137280464172,0.2181122601032257,0.6750590801239014
without_past_golddiffat15,1,45,31,0.6888888888888889,0.7983539094650206,0.5786735114690995,0.19579727947711945,0.1753336787223816,0.7883022427558899
without_past_golddiffat15,2,45,29,0.6444444444444445,0.6558704453441296,0.6705757258883267,0.23230262100696564,0.17018501460552216,0.9425535202026367
without_past_golddiffat15,3,33,16,0.48484848484848486,0.34782608695652173,0.7142448027553743,0.2605299651622772,0.11072598397731781,0.7952010631561279
without_past_xpdiffat15,1,45,36,0.8,0.8127572016460906,0.5400789699283426,0.18119798600673676,0.07574525475502014,0.8938103914260864
without_past_xpdiffat15,2,45,28,0.6222222222222222,0.639676113360324,0.7167847475011381,0.24177391827106476,0.12856827676296234,0.9809799194335938
without_past_xpdiffat15,3,33,17,0.5151515151515151,0.3782608695652174,0.7012131910493096,0.25481292605400085,0.11801557242870331,0.7588589191436768
without_past_csdiffat15,1,45,33,0.7333333333333333,0.7921810699588477,0.5648862488921625,0.1906416118144989,0.13126058876514435,0.8180086612701416
without_past_csdiffat15,2,45,26,0.5777777777777777,0.653846153846154,0.6948354849098358,0.2389395534992218,0.18487082421779633,0.9722957611083984
without_past_csdiffat15,3,33,16,0.48484848484848486,0.3782608695652174,0.7146820426118122,0.2601867914199829,0.10151281952857971,0.8189698457717896
without_past_kills_per_min,1,45,36,0.8,0.7962962962962963,0.5470406360538057,0.18424762785434723,0.06305555254220963,0.9130203723907471
without_past_kills_per_min,2,45,25,0.5555555555555556,0.6518218623481781,0.7078631459580776,0.2408275604248047,0.12832455337047577,0.9739630222320557
without_past_kills_per_min,3,33,15,0.45454545454545453,0.3782608695652174,0.7230559214446506,0.263847678899765,0.1117568165063858,0.8269534111022949
without_past_deaths_per_min,1,45,32,0.7111111111111111,0.7716049382716049,0.5939887982732033,0.2025875449180603,0.21718630194664001,0.7464329600334167
without_past_deaths_per_min,2,45,27,0.6,0.6336032388663968,0.7145670715505523,0.24592450261116028,0.13374994695186615,0.9741854667663574
without_past_deaths_per_min,3,33,18,0.5454545454545454,0.408695652173913,0.6926087634868594,0.2500901520252228,0.11766773462295532,0.7984300851821899
without_past_assists_per_min,1,45,33,0.7333333333333333,0.7839506172839505,0.553402425973677,0.1881522685289383,0.06994587182998657,0.8953534364700317
without_past_assists_per_min,2,45,27,0.6,0.6376518218623481,0.7024497849637582,0.24261364340782166,0.10438011586666107,0.9495835304260254
without_past_assists_per_min,3,33,14,0.42424242424242425,0.3782608695652174,0.6943796554240924,0.2510930299758911,0.2314816564321518,0.6774307489395142
without_past_dpm,1,45,33,0.7333333333333333,0.808641975308642,0.5377160312572145,0.18066397309303284,0.03997425734996796,0.943109393119812
without_past_dpm,2,45,29,0.6444444444444445,0.6558704453441295,0.7048719814995863,0.23924484848976135,0.18526408076286316,0.9807941913604736
without_past_dpm,3,33,17,0.5151515151515151,0.39999999999999997,0.7030214714290999,0.2552776038646698,0.12684454023838043,0.7914922833442688
without_past_damageshare,1,45,33,0.7333333333333333,0.8065843621399177,0.5296054687769962,0.17984817922115326,0.0433385968208313,0.9417077302932739
without_past_damageshare,2,45,28,0.6222222222222222,0.6639676113360324,0.6763616842111843,0.2313086986541748,0.21250662207603455,0.961106538772583
without_past_damageshare,3,33,17,0.5151515151515151,0.39565217391304347,0.714815523332572,0.261667937040329,0.08528052270412445,0.779636561870575
without_past_earnedgoldshare,1,45,35,0.7777777777777778,0.7942386831275721,0.5537527498774613,0.18609313666820526,0.09209585934877396,0.8620587587356567
without_past_earnedgoldshare,2,45,26,0.5777777777777777,0.6477732793522267,0.7010248401265693,0.23872730135917664,0.13936975598335266,0.9745397567749023
without_past_earnedgoldshare,3,33,17,0.5151515151515151,0.408695652173913,0.7125421834080983,0.2595810294151306,0.08719083666801453,0.8323053121566772
without_past_cspm,1,45,36,0.8,0.8580246913580247,0.5390507075535033,0.17748570442199707,0.15569663047790527,0.8039815425872803
without_past_cspm,2,45,28,0.6222222222222222,0.6437246963562754,0.7201886988550567,0.24190570414066315,0.16854679584503174,0.9855160713195801
without_past_cspm,3,33,16,0.48484848484848486,0.39999999999999997,0.7057516271335935,0.25634169578552246,0.1454508751630783,0.7854288816452026
without_past_vision_per_min,1,45,34,0.7555555555555555,0.8106995884773662,0.5662279701286659,0.19046492874622345,0.16297659277915955,0.7896016836166382
without_past_vision_per_min,2,45,25,0.5555555555555556,0.5870445344129555,0.7733440292451912,0.2614698112010956,0.13088543713092804,0.9906127452850342
without_past_vision_per_min,3,33,14,0.42424242424242425,0.4130434782608695,0.7040606537040732,0.2561914026737213,0.1324644237756729,0.7790294289588928
without_history_fraction,1,45,31,0.6888888888888889,0.7633744855967078,0.5861002458414628,0.20014365017414093,0.16555190086364746,0.801872193813324
without_history_fraction,2,45,25,0.5555555555555556,0.5627530364372471,0.7589756379577278,0.26640287041664124,0.17048649489879608,0.9579391479492188
