candidate,inputs,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
all13,13,123,79,0.6422764227642277,0.6705756929637527,0.6607302843597891,0.2286667076580726,0.10251548141241074,0.9775340557098389
without_past_result,12,123,74,0.6016260162601627,0.6564498933901919,0.6763112908330736,0.2362518935565512,0.1330716758966446,0.9643359184265137
without_past_golddiffat15,12,123,76,0.6178861788617886,0.6708422174840085,0.6486690567164822,0.22652019832787954,0.11072598397731781,0.9425535202026367
without_past_xpdiffat15,12,123,81,0.6585365853658537,0.6892324093816631,0.6479585560332726,0.22311027209769277,0.07574525475502014,0.9809799194335938
without_past_csdiffat15,12,123,75,0.6097560975609756,0.6647121535181237,0.6526177702227214,0.22697006084435645,0.10151281952857971,0.9722957611083984
without_past_kills_per_min,12,123,76,0.6178861788617886,0.6793710021321961,0.6531017507214509,0.22630373635848725,0.06305555254220963,0.9739630222320557
without_past_deaths_per_min,12,123,77,0.6260162601626016,0.6564498933901919,0.6645618145487694,0.23118713215972092,0.11766773462295532,0.9741854667663574
without_past_assists_per_min,12,123,74,0.6016260162601627,0.6783049040511727,0.6457551061239776,0.22496371287935923,0.06994587182998657,0.9495835304260254
without_past_dpm,12,123,79,0.6422764227642277,0.693230277185501,0.643220887591465,0.22211428677790876,0.03997425734996796,0.9807941913604736
without_past_damageshare,12,123,78,0.6341463414634146,0.6849680170575693,0.6329872682923406,0.2206268517578803,0.0433385968208313,0.961106538772583
without_past_earnedgoldshare,12,123,78,0.6341463414634146,0.6791044776119404,0.6502348254487711,0.2250657854546881,0.08719083666801453,0.9745397567749023
without_past_cspm,12,123,80,0.6504065040650406,0.6985607675906184,0.6500453401773285,0.22221048461188794,0.1454508751630783,0.9855160713195801
without_past_vision_per_min,12,123,73,0.5934959349593496,0.654051172707889,0.6789816362211409,0.23407624678954983,0.13088543713092804,0.9906127452850342
without_history_fraction,12,123,73,0.5934959349593496,0.6364605543710021,0.6803280449815211,0.2390714408127968,0.12656168639659882,0.9579391479492188
joint_removal,11,123,78,0.6341463414634146,0.6812366737739872,0.6670155932351538,0.22707452486666946,0.14110544323921204,0.9915227890014648
