candidate,seed,chosen_epoch,first_validation_loss,best_validation_loss,last_validation_loss,last_epoch
pooled_2023_2025,42,1,0.689159832165809,0.689159832165809,0.6918176835260307,31
pooled_2023_2025,43,2,0.6896691771700708,0.6894978423635258,0.6931117212254382,32
pooled_2023_2025,44,67,0.6927794343712304,0.6788022763016109,0.726906753185941,97
pooled_2025_scaler,42,1,0.6874900710916896,0.6874900710916896,0.6918170550431817,31
pooled_2025_scaler,43,8,0.6904889454837346,0.6902809114524017,0.6948722234189245,38
pooled_2025_scaler,44,69,0.6927833088487689,0.6777455206057966,0.7268505151152503,99
pooled_recent_weights,42,1,0.6891539175438549,0.6891539175438549,0.6910106889463433,31
pooled_recent_weights,43,2,0.6896669188998437,0.6894957728843187,0.6926392888717192,32
pooled_recent_weights,44,66,0.6927521878378726,0.6792473598476102,0.7206357377450289,96
reference_2025,42,8,0.6873255769071599,0.687224305074389,0.6904662699667373,38
reference_2025,43,7,0.6904734561855156,0.6902983650427227,0.6931780446102986,37
reference_2025,44,77,0.6927814003397283,0.6832637353920958,0.7103626906095699,107
selected_2023_2025,42,20,0.6891777215424197,0.6857815952018237,0.6865094992262153,50
selected_2023_2025,43,1,0.6856698254691197,0.6856698254691197,0.6892667579583208,31
selected_2023_2025,44,67,0.6928739597912653,0.676472876829403,0.7163156852664082,97
selected_2024_2025,42,58,0.6888310384240828,0.6840830294133471,0.693775373825339,88
selected_2024_2025,43,1,0.6859800610099303,0.6859800610099303,0.6886737683233104,31
selected_2024_2025,44,69,0.6928038901928282,0.6760603808353041,0.7245604594402439,99
selected_2025,42,25,0.6872325449282711,0.6831938237464737,0.6850512930846779,55
selected_2025,43,37,0.6877206660742876,0.6866608733694142,0.6950324916448722,67
selected_2025,44,78,0.6930261465327661,0.6856330977441524,0.7075823345131237,108
