seed,stage,historical_year,gradient_cosine_with_2025,historical_loss,loss_2025
42,initial,2023,0.8433408737182617,0.7001392841339111,0.6981357336044312
42,initial,2024,0.8151474595069885,0.7020429372787476,0.6981357336044312
42,after_2025_fit,2023,0.7939839959144592,0.697989284992218,0.6948959231376648
42,after_2025_fit,2024,0.3432806730270386,0.6995065808296204,0.6948959231376648
43,initial,2023,0.9184845685958862,0.6856802701950073,0.6891513466835022
43,initial,2024,0.9010938405990601,0.685846745967865,0.6891513466835022
43,after_2025_fit,2023,0.9404573440551758,0.6798786520957947,0.6849684119224548
43,after_2025_fit,2024,0.8872784376144409,0.6809345483779907,0.6849684119224548
44,initial,2023,0.9185354709625244,0.6943424344062805,0.6937466263771057
44,initial,2024,0.9493284225463867,0.6939865946769714,0.6937466263771057
44,after_2025_fit,2023,0.9110844135284424,0.6606484055519104,0.6656414270401001
44,after_2025_fit,2024,0.965177595615387,0.6442866325378418,0.6656414270401001
