_key,league,date,reason
2023|LCK|ESPORTSTMNT04_2659018,LCK,2023-01-18 08:17:31,eligible
2023|LCK|ESPORTSTMNT04_2661035,LCK,2023-01-18 09:13:04,eligible
2023|LCK|ESPORTSTMNT04_2660040,LCK,2023-01-18 11:00:07,eligible
2023|LCK|ESPORTSTMNT04_2661049,LCK,2023-01-18 11:59:24,eligible
2023|LCK|ESPORTSTMNT04_2665017,LCK,2023-01-19 08:20:39,eligible
2023|LCK|ESPORTSTMNT04_2664031,LCK,2023-01-19 09:26:47,eligible
2023|LCK|ESPORTSTMNT04_2663029,LCK,2023-01-19 11:09:23,eligible
2023|LCK|ESPORTSTMNT04_2665040,LCK,2023-01-19 12:12:29,eligible
2023|LCK|ESPORTSTMNT04_2665115,LCK,2023-01-20 08:11:59,eligible
2023|LCK|ESPORTSTMNT04_2664115,LCK,2023-01-20 09:00:41,eligible
2023|LCK|ESPORTSTMNT04_2663131,LCK,2023-01-20 09:55:26,eligible
2023|LCK|ESPORTSTMNT04_2664117,LCK,2023-01-20 11:29:11,eligible
2023|LCK|ESPORTSTMNT04_2665143,LCK,2023-01-20 12:17:07,eligible
2023|LCK|ESPORTSTMNT04_2664153,LCK,2023-01-21 06:10:14,eligible
2023|LCK|ESPORTSTMNT04_2663182,LCK,2023-01-21 07:05:45,eligible
2023|LCK|ESPORTSTMNT04_2664171,LCK,2023-01-21 08:42:32,eligible
2023|LCK|ESPORTSTMNT04_2663193,LCK,2023-01-21 09:43:31,eligible
2023|LCK|ESPORTSTMNT04_2665186,LCK,2023-01-21 10:41:30,eligible
2023|LCK|ESPORTSTMNT04_2664180,LCK,2023-01-22 06:09:24,eligible
2023|LCK|ESPORTSTMNT04_2665208,LCK,2023-01-22 07:13:08,eligible
2023|LCK|ESPORTSTMNT04_2664200,LCK,2023-01-22 08:14:45,eligible
2023|LCK|ESPORTSTMNT04_2665209,LCK,2023-01-22 09:57:28,eligible
2023|LCK|ESPORTSTMNT04_2663232,LCK,2023-01-22 10:52:47,eligible
2023|LCK|ESPORTSTMNT04_2664219,LCK,2023-01-22 11:48:40,eligible
2023|LCK|ESPORTSTMNT03_3089368,LCK,2023-01-25 08:07:46,eligible
2023|LCK|ESPORTSTMNT03_3090319,LCK,2023-01-25 09:02:11,eligible
2023|LCK|ESPORTSTMNT03_3090322,LCK,2023-01-25 10:37:03,eligible
2023|LCK|ESPORTSTMNT03_3091336,LCK,2023-01-25 11:40:01,eligible
2023|LCK|ESPORTSTMNT03_3090339,LCK,2023-01-25 12:33:15,eligible
2023|LCK|ESPORTSTMNT03_3089607,LCK,2023-01-26 08:06:29,eligible
2023|LCK|ESPORTSTMNT03_3090562,LCK,2023-01-26 08:59:47,eligible
2023|LCK|ESPORTSTMNT03_3090563,LCK,2023-01-26 10:36:11,eligible
2023|LCK|ESPORTSTMNT03_3090572,LCK,2023-01-26 11:27:58,eligible
2023|LCK|ESPORTSTMNT03_3090837,LCK,2023-01-27 08:08:13,eligible
2023|LCK|ESPORTSTMNT03_3089931,LCK,2023-01-27 09:05:44,eligible
2023|LCK|ESPORTSTMNT03_3090868,LCK,2023-01-27 09:52:27,eligible
2023|LCK|ESPORTSTMNT03_3091907,LCK,2023-01-27 11:28:00,eligible
2023|LCK|ESPORTSTMNT03_3090903,LCK,2023-01-27 12:22:09,eligible
2023|LCK|ESPORTSTMNT03_3093250,LCK,2023-01-28 06:06:48,eligible
2023|LCK|ESPORTSTMNT03_3093271,LCK,2023-01-28 07:05:17,eligible
2023|LCK|ESPORTSTMNT03_3094238,LCK,2023-01-28 08:03:32,eligible
2023|LCK|ESPORTSTMNT03_3092329,LCK,2023-01-28 09:37:27,eligible
2023|LCK|ESPORTSTMNT03_3092334,LCK,2023-01-28 10:32:12,eligible
2023|LCK|ESPORTSTMNT03_3094264,LCK,2023-01-28 11:44:05,eligible
2023|LCK|ESPORTSTMNT03_3093537,LCK,2023-01-29 06:05:44,eligible
2023|LCK|ESPORTSTMNT03_3093557,LCK,2023-01-29 07:06:17,eligible
2023|LCK|ESPORTSTMNT03_3094541,LCK,2023-01-29 08:07:58,eligible
2023|LCK|ESPORTSTMNT03_3092604,LCK,2023-01-29 09:46:45,eligible
2023|LCK|ESPORTSTMNT03_3093593,LCK,2023-01-29 10:53:20,eligible
2023|LCK|ESPORTSTMNT03_3097664,LCK,2023-02-01 08:07:44,eligible
2023|LCK|ESPORTSTMNT03_3096700,LCK,2023-02-01 09:00:30,eligible
2023|LCK|ESPORTSTMNT03_3095781,LCK,2023-02-01 10:36:55,eligible
2023|LCK|ESPORTSTMNT03_3096742,LCK,2023-02-01 11:35:56,eligible
2023|LCK|ESPORTSTMNT03_3098196,LCK,2023-02-02 08:06:47,eligible
2023|LCK|ESPORTSTMNT03_3099119,LCK,2023-02-02 09:01:40,eligible
2023|LCK|ESPORTSTMNT03_3098225,LCK,2023-02-02 09:50:35,eligible
2023|LCK|ESPORTSTMNT03_3098229,LCK,2023-02-02 11:23:16,eligible
2023|LCK|ESPORTSTMNT03_3100173,LCK,2023-02-02 12:29:26,eligible
2023|LCK|ESPORTSTMNT03_3098275,LCK,2023-02-02 13:31:50,eligible
2023|LCK|ESPORTSTMNT03_3098573,LCK,2023-02-03 08:06:08,eligible
2023|LCK|ESPORTSTMNT03_3099542,LCK,2023-02-03 09:03:36,eligible
2023|LCK|ESPORTSTMNT03_3098646,LCK,2023-02-03 10:36:21,eligible
2023|LCK|ESPORTSTMNT03_3100615,LCK,2023-02-03 11:33:43,eligible
2023|LCK|ESPORTSTMNT03_3099594,LCK,2023-02-03 12:32:21,eligible
2023|LCK|ESPORTSTMNT03_3100826,LCK,2023-02-04 06:07:00,eligible
2023|LCK|ESPORTSTMNT03_3100863,LCK,2023-02-04 07:07:24,eligible
2023|LCK|ESPORTSTMNT03_3098932,LCK,2023-02-04 07:53:01,eligible
2023|LCK|ESPORTSTMNT03_3098936,LCK,2023-02-04 09:39:18,eligible
2023|LCK|ESPORTSTMNT03_3098971,LCK,2023-02-04 10:31:12,eligible
2023|LCK|ESPORTSTMNT03_3098980,LCK,2023-02-04 11:27:58,eligible
2023|LCK|ESPORTSTMNT03_3099980,LCK,2023-02-05 06:08:54,eligible
2023|LCK|ESPORTSTMNT03_3099998,LCK,2023-02-05 07:13:45,eligible
2023|LCK|ESPORTSTMNT03_3103007,LCK,2023-02-05 08:48:10,eligible
2023|LCK|ESPORTSTMNT03_3103038,LCK,2023-02-05 09:44:37,eligible
2023|LCK|ESPORTSTMNT03_3102090,LCK,2023-02-05 10:44:56,eligible
2023|LCK|ESPORTSTMNT01_3304845,LCK,2023-02-08 08:06:49,eligible
2023|LCK|ESPORTSTMNT01_3303961,LCK,2023-02-08 09:07:58,eligible
2023|LCK|ESPORTSTMNT01_3305848,LCK,2023-02-08 10:00:15,eligible
2023|LCK|ESPORTSTMNT01_3304899,LCK,2023-02-08 11:36:31,eligible
2023|LCK|ESPORTSTMNT01_3304926,LCK,2023-02-08 12:32:16,eligible
2023|LCK|ESPORTSTMNT01_3306459,LCK,2023-02-09 08:08:59,eligible
2023|LCK|ESPORTSTMNT01_3308368,LCK,2023-02-09 09:09:41,eligible
2023|LCK|ESPORTSTMNT01_3308372,LCK,2023-02-09 10:03:46,eligible
2023|LCK|ESPORTSTMNT01_3308381,LCK,2023-02-09 11:42:33,eligible
2023|LCK|ESPORTSTMNT01_3306514,LCK,2023-02-09 12:36:54,eligible
2023|LCK|ESPORTSTMNT01_3309028,LCK,2023-02-10 08:07:07,eligible
2023|LCK|ESPORTSTMNT01_3309043,LCK,2023-02-10 09:01:42,eligible
2023|LCK|ESPORTSTMNT01_3308953,LCK,2023-02-10 10:00:13,eligible
2023|LCK|ESPORTSTMNT01_3309058,LCK,2023-02-10 11:30:21,eligible
2023|LCK|ESPORTSTMNT01_3309094,LCK,2023-02-10 12:23:47,eligible
2023|LCK|ESPORTSTMNT01_3311011,LCK,2023-02-10 13:14:08,eligible
2023|LCK|ESPORTSTMNT01_3310502,LCK,2023-02-11 06:09:24,eligible
2023|LCK|ESPORTSTMNT01_3311520,LCK,2023-02-11 07:02:56,eligible
2023|LCK|ESPORTSTMNT01_3310542,LCK,2023-02-11 08:37:24,eligible
2023|LCK|ESPORTSTMNT01_3310561,LCK,2023-02-11 09:27:12,eligible
2023|LCK|ESPORTSTMNT01_3309624,LCK,2023-02-11 10:22:31,eligible
2023|LCK|ESPORTSTMNT01_3309955,LCK,2023-02-12 06:08:24,eligible
2023|LCK|ESPORTSTMNT01_3311892,LCK,2023-02-12 07:08:38,eligible
2023|LCK|ESPORTSTMNT01_3310923,LCK,2023-02-12 08:46:43,eligible
