_key,league,date,reason
2024|LCK|LOLTMNT02_22165,LCK,2024-01-17 08:20:00,eligible
2024|LCK|LOLTMNT02_21206,LCK,2024-01-17 09:25:01,eligible
2024|LCK|LOLTMNT02_22225,LCK,2024-01-17 11:06:26,eligible
2024|LCK|LOLTMNT02_21273,LCK,2024-01-17 11:57:38,eligible
2024|LCK|LOLTMNT02_21295,LCK,2024-01-17 12:49:50,eligible
2024|LCK|LOLTMNT02_21688,LCK,2024-01-18 08:11:20,eligible
2024|LCK|LOLTMNT02_21701,LCK,2024-01-18 09:08:42,eligible
2024|LCK|LOLTMNT02_22739,LCK,2024-01-18 10:57:08,eligible
2024|LCK|LOLTMNT02_22767,LCK,2024-01-18 11:54:26,eligible
2024|LCK|LOLTMNT02_23175,LCK,2024-01-19 08:09:40,eligible
2024|LCK|LOLTMNT02_23223,LCK,2024-01-19 09:02:32,eligible
2024|LCK|LOLTMNT02_24236,LCK,2024-01-19 10:50:14,eligible
2024|LCK|LOLTMNT02_24257,LCK,2024-01-19 11:37:08,eligible
2024|LCK|LOLTMNT02_26035,LCK,2024-01-20 06:07:32,eligible
2024|LCK|LOLTMNT02_26046,LCK,2024-01-20 06:57:59,eligible
2024|LCK|LOLTMNT02_25093,LCK,2024-01-20 08:36:07,eligible
2024|LCK|LOLTMNT02_25120,LCK,2024-01-20 09:22:51,eligible
2024|LCK|LOLTMNT02_26436,LCK,2024-01-21 06:09:52,eligible
2024|LCK|LOLTMNT02_25456,LCK,2024-01-21 07:08:40,eligible
2024|LCK|LOLTMNT02_25488,LCK,2024-01-21 08:48:47,eligible
2024|LCK|LOLTMNT02_26523,LCK,2024-01-21 09:35:51,eligible
2024|LCK|LOLTMNT02_26537,LCK,2024-01-21 10:46:29,eligible
2024|LCK|LOLTMNT02_29043,LCK,2024-01-24 08:06:21,eligible
2024|LCK|LOLTMNT02_29074,LCK,2024-01-24 09:00:49,eligible
2024|LCK|LOLTMNT02_29105,LCK,2024-01-24 10:38:13,eligible
2024|LCK|LOLTMNT02_29136,LCK,2024-01-24 11:40:33,eligible
2024|LCK|LOLTMNT02_29165,LCK,2024-01-24 12:34:20,eligible
2024|LCK|LOLTMNT02_29737,LCK,2024-01-25 08:07:02,eligible
2024|LCK|LOLTMNT02_29757,LCK,2024-01-25 08:53:13,eligible
2024|LCK|LOLTMNT02_29804,LCK,2024-01-25 10:35:32,eligible
2024|LCK|LOLTMNT02_30776,LCK,2024-01-25 11:26:48,eligible
2024|LCK|LOLTMNT02_32346,LCK,2024-01-26 08:07:55,eligible
2024|LCK|LOLTMNT02_31412,LCK,2024-01-26 09:05:44,eligible
2024|LCK|LOLTMNT02_31433,LCK,2024-01-26 09:48:31,eligible
2024|LCK|LOLTMNT02_32443,LCK,2024-01-26 11:25:59,eligible
2024|LCK|LOLTMNT02_31496,LCK,2024-01-26 12:29:48,eligible
2024|LCK|LOLTMNT02_32510,LCK,2024-01-26 13:22:20,eligible
2024|LCK|LOLTMNT02_31940,LCK,2024-01-27 06:08:42,eligible
2024|LCK|LOLTMNT02_32961,LCK,2024-01-27 07:09:38,eligible
2024|LCK|LOLTMNT02_31982,LCK,2024-01-27 08:14:12,eligible
2024|LCK|LOLTMNT02_33033,LCK,2024-01-27 10:01:17,eligible
2024|LCK|LOLTMNT02_34050,LCK,2024-01-27 10:59:07,eligible
2024|LCK|LOLTMNT02_33438,LCK,2024-01-28 06:05:40,eligible
2024|LCK|LOLTMNT02_34441,LCK,2024-01-28 07:00:51,eligible
2024|LCK|LOLTMNT02_34469,LCK,2024-01-28 07:59:35,eligible
2024|LCK|LOLTMNT02_33526,LCK,2024-01-28 09:43:00,eligible
2024|LCK|LOLTMNT02_34511,LCK,2024-01-28 10:40:23,eligible
2024|LCK|LOLTMNT02_38424,LCK,2024-01-31 08:08:09,eligible
2024|LCK|LOLTMNT02_38442,LCK,2024-01-31 09:10:02,eligible
2024|LCK|LOLTMNT02_37474,LCK,2024-01-31 10:53:30,eligible
2024|LCK|LOLTMNT02_37499,LCK,2024-01-31 11:45:22,eligible
2024|LCK|LOLTMNT02_37839,LCK,2024-02-01 08:05:09,eligible
2024|LCK|LOLTMNT02_37841,LCK,2024-02-01 08:56:49,eligible
2024|LCK|LOLTMNT02_38830,LCK,2024-02-01 10:35:28,eligible
2024|LCK|LOLTMNT02_38839,LCK,2024-02-01 11:36:14,eligible
2024|LCK|LOLTMNT02_37886,LCK,2024-02-01 12:31:35,eligible
2024|LCK|LOLTMNT02_41039,LCK,2024-02-02 08:06:17,eligible
2024|LCK|LOLTMNT02_41040,LCK,2024-02-02 09:01:32,eligible
2024|LCK|LOLTMNT02_42068,LCK,2024-02-02 10:37:05,eligible
2024|LCK|LOLTMNT02_41061,LCK,2024-02-02 11:28:11,eligible
2024|LCK|LOLTMNT02_41171,LCK,2024-02-03 06:07:06,eligible
2024|LCK|LOLTMNT02_42189,LCK,2024-02-03 07:05:14,eligible
2024|LCK|LOLTMNT02_41177,LCK,2024-02-03 07:52:59,eligible
2024|LCK|LOLTMNT02_42207,LCK,2024-02-03 09:41:13,eligible
